trade_date,symbol,name,market,close,pct_change,volume,amount,source,currency,asset_group
20200101,000688.SH,科创50,CN_INDEX,1019.72,1.97,165906987.0,66.28,中证指数官网 / AKShare,点,中国科技指数
20200101,931087.CSI,中国科技龙头,CN_INDEX,3506.74,2.32,2486384882.0,519.34,中证指数官网 / AKShare,点,中国科技指数
20200102,000660.KS,SK海力士,KR_EQUITY,88883.96875,,2342070.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200102,000688.SH,科创50,CN_INDEX,1019.72,1.97,165906987.0,66.28,中证指数官网 / AKShare,点,中国科技指数
20200102,005930.KS,三星电子,KR_EQUITY,47372.84765625,,12993228.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200102,931087.CSI,中国科技龙头,CN_INDEX,3506.74,2.32,2486384882.0,519.34,中证指数官网 / AKShare,点,中国科技指数
20200102,AAPL,苹果,US_EQUITY,72.33386993408203,,135480400.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,AMZN,亚马逊,US_EQUITY,94.90049743652344,,80580000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,DX-Y.NYB,美元指数,FX_INDEX,96.8499984741211,,0.0,,Yahoo Finance / yfinance,点,美元与利率
20200102,GOOGL,谷歌母公司,US_EQUITY,67.83251190185547,,27278000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,META,Meta,US_EQUITY,207.95384216308594,,12077100.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,MSFT,微软,US_EQUITY,151.8295440673828,,22622100.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,MU,美光科技,US_EQUITY,54.012847900390625,,20173200.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,NVDA,英伟达,US_EQUITY,5.963803768157959,,237536000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,TSLA,特斯拉,US_EQUITY,28.68400001525879,,142981500.0,,Yahoo Finance / yfinance,USD,科技龙头
20200102,^DJI,道琼斯工业指数,US_INDEX,28868.80078125,,251820000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200102,^GSPC,标普500指数,US_INDEX,3257.85009765625,,3459930000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200102,^IXIC,纳斯达克综合指数,US_INDEX,9092.1904296875,,2862700000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200103,000660.KS,SK海力士,KR_EQUITY,88696.234375,-0.2112128628369736,3021380.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200103,000688.SH,科创50,CN_INDEX,1024.48,0.47,166149031.0,72.16,中证指数官网 / AKShare,点,中国科技指数
20200103,005930.KS,三星电子,KR_EQUITY,47630.30078125,0.5434613660300736,15422255.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200103,931087.CSI,中国科技龙头,CN_INDEX,3511.67,0.14,2468641563.0,498.92,中证指数官网 / AKShare,点,中国科技指数
20200103,AAPL,苹果,US_EQUITY,71.6306381225586,-0.9722026654515936,146322800.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,AMZN,亚马逊,US_EQUITY,93.74849700927734,-1.2139034655920922,75288000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,DX-Y.NYB,美元指数,FX_INDEX,96.83999633789062,-0.010327451097624785,0.0,,Yahoo Finance / yfinance,点,美元与利率
20200103,GOOGL,谷歌母公司,US_EQUITY,67.47765350341797,-0.5231391090911308,23408000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,META,Meta,US_EQUITY,206.85350036621094,-0.5291278994557169,11188400.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,MSFT,微软,US_EQUITY,149.93902587890625,-1.2451583122962795,21116200.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,MU,美光科技,US_EQUITY,53.174224853515625,-1.5526362328118104,16815800.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,NVDA,英伟达,US_EQUITY,5.868346691131592,-1.6006072757798195,205384000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,TSLA,特斯拉,US_EQUITY,29.534000396728516,2.963325829792085,266677500.0,,Yahoo Finance / yfinance,USD,科技龙头
20200103,^DJI,道琼斯工业指数,US_INDEX,28634.880859375,-0.8102862451665471,239590000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200103,^GSPC,标普500指数,US_INDEX,3234.85009765625,-0.7059870562045378,3484700000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200103,^IXIC,纳斯达克综合指数,US_INDEX,9020.76953125,-0.7855191660339544,2586520000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200106,000660.KS,SK海力士,KR_EQUITY,88508.5390625,-0.2116158750397945,2577573.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200106,000688.SH,科创50,CN_INDEX,1027.28,0.27,184335092.0,77.85,中证指数官网 / AKShare,点,中国科技指数
20200106,005930.KS,三星电子,KR_EQUITY,47630.30078125,0.0,10278951.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200106,931087.CSI,中国科技龙头,CN_INDEX,3542.39,0.87,2864921493.0,603.11,中证指数官网 / AKShare,点,中国科技指数
20200106,AAPL,苹果,US_EQUITY,72.20140075683594,0.7968135552566036,118387200.0,,Yahoo Finance / yfinance,USD,科技龙头
20200106,AMZN,亚马逊,US_EQUITY,95.14399719238281,1.488557393050649,81236000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200106,DX-Y.NYB,美元指数,FX_INDEX,96.66999816894531,-0.17554541034074944,0.0,,Yahoo Finance / yfinance,点,美元与利率
20200106,GOOGL,谷歌母公司,US_EQUITY,69.27621459960938,2.6654173682852056,46768000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200106,META,Meta,US_EQUITY,210.74929809570312,1.883360795246447,17058900.0,,Yahoo Finance / yfinance,USD,科技龙头
20200106,MSFT,微软,US_EQUITY,150.3265838623047,0.2584770583419882,20813700.0,,Yahoo Finance / yfinance,USD,科技龙头
20200106,MU,美光科技,US_EQUITY,52.23809814453125,-1.760489619854766,18768700.0,,Yahoo Finance / yfinance,USD,科技龙头
20200106,NVDA,英伟达,US_EQUITY,5.892958164215088,0.41939364490324316,262636000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200106,TSLA,特斯拉,US_EQUITY,30.1026668548584,1.925463704513497,151995000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200106,^DJI,道琼斯工业指数,US_INDEX,28703.380859375,0.23921873583621078,252760000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200106,^GSPC,标普500指数,US_INDEX,3246.280029296875,0.35333728907271933,3702460000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200106,^IXIC,纳斯达克综合指数,US_INDEX,9071.4697265625,0.5620384728471706,2810450000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200107,000660.KS,SK海力士,KR_EQUITY,88226.9609375,-0.3181366769608118,2489429.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200107,000688.SH,科创50,CN_INDEX,1043.08,1.54,187496602.0,78.24,中证指数官网 / AKShare,点,中国科技指数
20200107,005930.KS,三星电子,KR_EQUITY,47887.7734375,0.540564833786128,10009778.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200107,931087.CSI,中国科技龙头,CN_INDEX,3560.73,0.52,2213371307.0,459.65,中证指数官网 / AKShare,点,中国科技指数
20200107,AAPL,苹果,US_EQUITY,71.86184692382812,-0.47028704353172524,108872000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200107,AMZN,亚马逊,US_EQUITY,95.34300231933594,0.20916204156393725,80898000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200107,DX-Y.NYB,美元指数,FX_INDEX,96.9800033569336,0.32068397006328464,0.0,,Yahoo Finance / yfinance,点,美元与利率
20200107,GOOGL,谷歌母公司,US_EQUITY,69.14240264892578,-0.19315713402785484,34330000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200107,META,Meta,US_EQUITY,211.20529174804688,0.2163678154394999,14912400.0,,Yahoo Finance / yfinance,USD,科技龙头
20200107,MSFT,微软,US_EQUITY,148.9559326171875,-0.9117823407552961,21634100.0,,Yahoo Finance / yfinance,USD,科技龙头
20200107,MU,美光科技,US_EQUITY,56.82124328613281,8.773568151200717,49908200.0,,Yahoo Finance / yfinance,USD,科技龙头
20200107,NVDA,英伟达,US_EQUITY,5.96429967880249,1.2106231301729276,314856000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200107,TSLA,特斯拉,US_EQUITY,31.270666122436523,3.880052465815398,268231500.0,,Yahoo Finance / yfinance,USD,科技龙头
20200107,^DJI,道琼斯工业指数,US_INDEX,28583.6796875,-0.41702812801546196,258900000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200107,^GSPC,标普500指数,US_INDEX,3237.179931640625,-0.2803238652896223,3435910000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200107,^IXIC,纳斯达克综合指数,US_INDEX,9068.580078125,-0.031854247708495986,2381740000.0,,Yahoo Finance / yfinance,点,美国主要指数
20200108,000660.KS,SK海力士,KR_EQUITY,91418.1484375,3.617020767904089,7014748.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200108,000688.SH,科创50,CN_INDEX,1051.16,0.77,237912351.0,92.84,中证指数官网 / AKShare,点,中国科技指数
20200108,005930.KS,三星电子,KR_EQUITY,48745.96875,1.7920969193108593,23501171.0,,Yahoo Finance / yfinance,KRW,科技龙头
20200108,931087.CSI,中国科技龙头,CN_INDEX,3524.64,-1.01,4029300662.0,570.25,中证指数官网 / AKShare,点,中国科技指数
20200108,AAPL,苹果,US_EQUITY,73.01783752441406,1.6086291266786734,132079200.0,,Yahoo Finance / yfinance,USD,科技龙头
20200108,AMZN,亚马逊,US_EQUITY,94.59850311279297,-0.7808640261289357,70160000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200108,DX-Y.NYB,美元指数,FX_INDEX,97.30000305175781,0.32996461512428965,0.0,,Yahoo Finance / yfinance,点,美元与利率
20200108,GOOGL,谷歌母公司,US_EQUITY,69.63452911376953,0.7117578302023198,35314000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200108,META,Meta,US_EQUITY,213.3464813232422,1.0137954203105926,13475000.0,,Yahoo Finance / yfinance,USD,科技龙头
20200108,MSFT,微软,US_EQUITY,151.3285675048828,1.5928434980786665,27746500.0,,Yahoo Finance / yfinance,USD,科技龙头
