trade_date,symbol,name,close,ma10w,ma20w,dev10w_pct,dev20w_pct,source
20200103,000688.SH,科创50,1024.48,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200110,000688.SH,科创50,1076.44,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200117,000688.SH,科创50,1238.66,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200124,000688.SH,科创50,1202.1,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200207,000688.SH,科创50,1307.76,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200214,000688.SH,科创50,1327.22,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200221,000688.SH,科创50,1346.86,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200228,000688.SH,科创50,1191.05,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200306,000688.SH,科创50,1243.37,,,,,公开指数日线计算（周五收盘/当周最后交易日）
20200313,000688.SH,科创50,1175.28,1213.322,,-3.135358956649592,,公开指数日线计算（周五收盘/当周最后交易日）
20200320,000688.SH,科创50,1127.37,1223.611,,-7.865326480392887,,公开指数日线计算（周五收盘/当周最后交易日）
20200327,000688.SH,科创50,1084.51,1224.4180000000001,,-11.42648997319544,,公开指数日线计算（周五收盘/当周最后交易日）
20200403,000688.SH,科创50,1080.53,1208.605,,-10.596927863114914,,公开指数日线计算（周五收盘/当周最后交易日）
20200410,000688.SH,科创50,1058.44,1194.239,,-11.371174446655985,,公开指数日线计算（周五收盘/当周最后交易日）
20200417,000688.SH,科创50,1117.07,1175.1699999999998,,-4.943965553919849,,公开指数日线计算（周五收盘/当周最后交易日）
20200424,000688.SH,科创50,1144.15,1156.8629999999998,,-1.0989200968480883,,公开指数日线计算（周五收盘/当周最后交易日）
20200501,000688.SH,科创50,1166.35,1138.812,,2.4181339852407557,,公开指数日线计算（周五收盘/当周最后交易日）
20200508,000688.SH,科创50,1240.25,1143.732,,8.438865048805134,,公开指数日线计算（周五收盘/当周最后交易日）
20200515,000688.SH,科创50,1270.48,1146.4429999999998,,10.819290623258215,,公开指数日线计算（周五收盘/当周最后交易日）
20200522,000688.SH,科创50,1230.66,1151.9810000000002,1182.6515,6.829886951260478,4.059395350194039,公开指数日线计算（周五收盘/当周最后交易日）
20200529,000688.SH,科创50,1246.11,1163.855,1193.733,7.067461152806831,4.387664578259964,公开指数日线计算（周五收盘/当周最后交易日）
20200605,000688.SH,科创50,1297.31,1185.1349999999998,1204.7765000000002,9.465166415640436,7.6805531980412844,公开指数日线计算（周五收盘/当周最后交易日）
20200612,000688.SH,科创50,1262.29,1203.3110000000001,1205.9579999999999,4.9013929067381445,4.671141117684052,公开指数日线计算（周五收盘/当周最后交易日）
20200619,000688.SH,科创50,1325.15,1229.982,1212.1105,7.73734900185532,9.325841167121318,公开指数日线计算（周五收盘/当周最后交易日）
20200626,000688.SH,科创50,1424.28,1260.703,1217.9365,12.97506232633696,16.94205732400662,公开指数日线计算（周五收盘/当周最后交易日）
20200703,000688.SH,科创50,1438.59,1290.1470000000002,1223.5049999999999,11.505898165092798,17.579413243100774,公开指数日线计算（周五收盘/当周最后交易日）
20200710,000688.SH,科创50,1654.83,1338.9950000000001,1238.9035,23.58746671944254,33.572146660333125,公开指数日线计算（周五收盘/当周最后交易日）
20200717,000688.SH,科创50,1443.4,1359.31,1251.521,6.1862268356740024,15.331664430720714,公开指数日线计算（周五收盘/当周最后交易日）
20200724,000688.SH,科创50,1389.31,1371.193,1258.818,1.3212582036226772,10.366232449806079,公开指数日线计算（周五收盘/当周最后交易日）
20200731,000688.SH,科创50,1512.98,1399.425,1275.703,8.114404130267783,18.59970541732676,公开指数日线计算（周五收盘/当周最后交易日）
20200807,000688.SH,科创50,1526.8,1427.4940000000001,1295.6744999999999,6.95666671803874,17.838237921638502,公开指数日线计算（周五收盘/当周最后交易日）
20200814,000688.SH,科创50,1484.04,1446.167,1315.651,2.618853839148594,12.798910957389143,公开指数日线计算（周五收盘/当周最后交易日）
20200821,000688.SH,科创50,1447.71,1464.709,1334.0099999999998,-1.160571826895307,8.523174488946882,公开指数日线计算（周五收盘/当周最后交易日）
20200828,000688.SH,科创50,1413.64,1473.558,1351.77,-4.0662125277729055,4.576962057154699,公开指数日线计算（周五收盘/当周最后交易日）
20200904,000688.SH,科创50,1390.28,1470.158,1365.4305,-5.433293564365183,1.8199022213140958,公开指数日线计算（周五收盘/当周最后交易日）
20200911,000688.SH,科创50,1312.51,1457.55,1373.8484999999998,-9.950945079071039,-4.464720818925805,公开指数日线计算（周五收盘/当周最后交易日）
20200918,000688.SH,科创50,1403.9,1432.4569999999999,1385.726,-1.9935676952257397,1.3115146861645055,公开指数日线计算（周五收盘/当周最后交易日）
20200925,000688.SH,科创50,1364.02,1424.519,1391.9145,-4.2469774007928285,-2.0040383227561853,公开指数日线计算（周五收盘/当周最后交易日）
20201002,000688.SH,科创50,1418.8,1427.468,1399.3305,-0.6072290236979083,1.3913439319731769,公开指数日线计算（周五收盘/当周最后交易日）
20201009,000688.SH,科创50,1465.96,1422.766,1411.0955,3.0359173609715073,3.888078446852128,公开指数日线计算（周五收盘/当周最后交易日）
20201016,000688.SH,科创50,1438.53,1413.9389999999999,1420.7165,1.7391839393354314,1.2538391719952635,公开指数日线计算（周五收盘/当周最后交易日）
20201023,000688.SH,科创50,1336.53,1399.188,1422.6775,-4.4781687664559815,-6.05530768568422,公开指数日线计算（周五收盘/当周最后交易日）
20201030,000688.SH,科创50,1393.91,1393.808,1429.2585000000001,0.007318081113050212,-2.4732055118090956,公开指数日线计算（周五收盘/当周最后交易日）
20201106,000688.SH,科创50,1441.47,1396.591,1435.0745000000002,3.2134676508727367,0.44565630564823433,公开指数日线计算（周五收盘/当周最后交易日）
20201113,000688.SH,科创50,1436.89,1401.252,1435.7050000000002,2.5432969944021666,0.08253784725971158,公开指数日线计算（周五收盘/当周最后交易日）
20201120,000688.SH,科创50,1430.72,1413.0729999999999,1435.3115000000003,1.2488385242659161,-0.3198957160170601,公开指数日线计算（周五收盘/当周最后交易日）
20201127,000688.SH,科创50,1387.77,1411.46,1421.9585,-1.6784039221798719,-2.404324739435082,公开指数日线计算（周五收盘/当周最后交易日）
20201204,000688.SH,科创50,1404.87,1415.5449999999998,1420.0320000000002,-0.7541265025131638,-1.0677224175229982,公开指数日线计算（周五收盘/当周最后交易日）
20201211,000688.SH,科创50,1362.96,1409.961,1418.7145,-3.333496458412677,-3.9299309339546507,公开指数日线计算（周五收盘/当周最后交易日）
20201218,000688.SH,科创50,1361.11,1399.476,1411.121,-2.741454658743714,-3.544061777834795,公开指数日线计算（周五收盘/当周最后交易日）
20201225,000688.SH,科创50,1349.79,1390.602,1402.2705,-2.934844045959961,-3.742537548925129,公开指数日线计算（周五收盘/当周最后交易日）
20210101,000688.SH,科创50,1393.03,1396.252,1397.72,-0.23076063633211685,-0.33554646137996524,公开指数日线计算（周五收盘/当周最后交易日）
20210108,000688.SH,科创50,1378.74,1394.7350000000001,1394.2715,-1.1468128354131912,-1.1139509055445806,公开指数日线计算（周五收盘/当周最后交易日）
20210115,000688.SH,科创50,1447.58,1395.346,1395.9685,3.743444278336683,3.697182278826494,公开指数日线计算（周五收盘/当周最后交易日）
20210122,000688.SH,科创50,1486.31,1400.288,1400.77,6.143164834662573,6.106641347259001,公开指数日线计算（周五收盘/当周最后交易日）
20210129,000688.SH,科创50,1421.96,1399.4119999999998,1406.2425,1.6112481527956302,1.117694849928097,公开指数日线计算（周五收盘/当周最后交易日）
20210205,000688.SH,科创50,1368.8,1397.5149999999999,1404.4875,-2.0547185540047863,-2.540962450716011,公开指数日线计算（周五收盘/当周最后交易日）
